region1,region2,rtt,bw,value,abb1,abb2,label,level
us-west4-a,client-us-west4-a,0.615,915.0,0.6160928961748634,us,us,True,1
southamerica-west1-b,client-southamerica-west1-b,0.6509999999999999,971.0,0.6520298661174047,southamerica,southamerica,True,1
asia-northeast3-a,client-asia-northeast3-a,0.773,974.0,0.7740266940451745,asia,asia,True,1
asia-northeast1-b,client-asia-northeast1-b,0.802,967.0,0.803034126163392,asia,asia,True,1
asia-south1-c,client-asia-south1-c,0.826,889.0,0.8271248593925759,asia,asia,True,1
southamerica-east1-b,client-southamerica-east1-b,0.833,971.0,0.8340298661174047,southamerica,southamerica,True,1
asia-southeast2-a,client-asia-southeast2-a,0.841,959.0,0.8420427528675704,asia,asia,True,1
us-east4-c,client-us-east4-c,0.863,964.0,0.8640373443983402,us,us,True,1
europe-central2-a,client-europe-central2-a,0.895,952.0,0.8960504201680672,europe,europe,True,1
europe-north1-a,client-europe-north1-a,0.96,971.0,0.9610298661174047,europe,europe,True,1
us-west1-b,client-us-west1-b,1.005,938.0,1.0060660980810234,us,us,True,1
europe-west2-c,client-europe-west2-c,1.033,962.0,1.034039501039501,europe,europe,True,1
asia-east2-a,client-asia-east2-a,1.034,930.0,1.0350752688172042,asia,asia,True,1
asia-southeast1-b,client-asia-southeast1-b,1.036,931.0,1.0370741138560688,asia,asia,True,1
asia-northeast2-a,client-asia-northeast2-a,1.043,925.0,1.044081081081081,asia,asia,True,1
europe-west4-a,client-europe-west4-a,1.051,932.0,1.0520729613733906,europe,europe,True,1
europe-west1-b,client-europe-west1-b,1.054,962.0,1.055039501039501,europe,europe,True,1
northamerica-northeast2-a,client-northamerica-northeast2-a,1.054,893.0,1.0551198208286674,northamerica,northamerica,True,1
northamerica-northeast1-a,client-northamerica-northeast1-a,1.072,772.0,1.0732953367875648,northamerica,northamerica,True,1
asia-east1-b,client-asia-east1-b,1.0859999999999999,956.0,1.0870460251046024,asia,asia,True,1
australia-southeast1-b,client-australia-southeast1-b,1.089,961.0,1.0900405827263266,australia,australia,True,1
europe-west3-c,client-europe-west3-c,1.1540000000000001,972.0,1.1550288065843624,europe,europe,True,1
us-east1-b,client-us-east1-b,1.188,929.0,1.1890764262648008,us,us,True,1
asia-south2-a,client-asia-south2-a,1.3159999999999998,930.0,1.317075268817204,asia,asia,True,1
europe-west6-a,client-europe-west6-a,1.48,758.0,1.4813192612137203,europe,europe,True,1
australia-southeast2-a,client-australia-southeast2-a,1.567,966.0,1.5680351966873705,australia,australia,True,1
us-west2-a,client-us-west4-a,7.126,938.0,7.127066098081023,us,us,True,1
europe-west1-b,client-europe-west4-a,7.7379999999999995,903.0,7.73910741971207,europe,europe,True,1
europe-west3-c,client-europe-west6-a,7.847,956.0,7.848046025104603,europe,europe,True,1
europe-west2-c,client-europe-west1-b,7.997999999999999,961.0,7.999040582726326,europe,europe,True,1
us-west4-a,client-us-west2-a,8.026,970.0,8.027030927835051,us,us,True,1
europe-west4-a,client-europe-west1-b,8.054,946.0,8.055057082452432,europe,europe,True,1
europe-west4-a,client-europe-west3-c,8.068,870.0,8.069149425287357,europe,europe,True,1
europe-west1-b,client-europe-west2-c,8.094,927.0,8.095078748651563,europe,europe,True,1
europe-west6-a,client-europe-west3-c,8.193,968.0,8.19403305785124,europe,europe,True,1
europe-west1-b,client-europe-west3-c,8.297,818.0,8.29822249388753,europe,europe,True,1
europe-west3-c,client-europe-west4-a,8.328,901.0,8.329109877913428,europe,europe,True,1
northamerica-northeast1-a,client-northamerica-northeast2-a,8.386000000000001,934.0,8.387070663811564,northamerica,northamerica,True,1
europe-west3-c,client-europe-west1-b,8.581,957.0,8.582044932079414,europe,europe,True,1
